Tweet ID,Date Created,Tweet,Favorite Count,Retweets,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
1129147418682040320,2019-05-16 22:11:37,.@BilldeBlasio is the worst Mayor in the history of New York City - he won’t last long! https://t.co/NyYntsX573,61996,16275,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1129136814260834304,2019-05-16 21:29:29,"RT @WhiteHouse: “America’s last major overhaul of our legal admissions policy was 54 YEARS ago. Think of that. So a major update, and that'…",0,7172,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1129136708220477440,2019-05-16 21:29:04,"RT @WhiteHouse: ""Our plan includes a sweeping modernization of our dysfunctional legal immigration process . . . The system will finally be…",0,5768,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1129102710580621312,2019-05-16 19:13:58,"We are here on this beautiful spring day to unveil our plan to create a fair, modern &amp; LAWFUL system of immigration for the U.S. If adopted, our plan will transform America’s immigration system into the pride of our Nation and the envy of the modern world. https://t.co/YqyTYgTByD",55265,15413,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1129067332725297152,2019-05-16 16:53:23,"Congratulations to Dan Bishop on his big Republican Primary victory in the 9th Congressional District of North Carolina. Dan is strong on Crime, Loves our Military, Vets, 2A, and great Healthcare. He has my Complete and Total Endorsement! #MAGA",56083,12763,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1129002245679407104,2019-05-16 12:34:45,"RT @realDonaldTrump: The Fake News Washington Post, and even more Fake News New York Times, are writing stories that there is infighting wi…",0,21752,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1129002216235442178,2019-05-16 12:34:38,RT @realDonaldTrump: ....Different opinions are expressed and I make a decisive and final decision - it is a very simple process. All sides…,0,16130,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1129001970654679040,2019-05-16 12:33:40,"The Dems are getting another beauty to join their group. Bill de Blasio of NYC, considered the worst mayor in the U.S., will supposedly be making an announcement for president today. He is a JOKE, but if you like high taxes &amp; crime, he’s your man. NYC HATES HIM!",109460,26757,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1128854612314918914,2019-05-16 02:48:07,"RT @WhiteHouse: Tonight, the White House was lit in blue in honor of Peace Officers Memorial Day. https://t.co/Tv9nAn5M2G",0,14573,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
1128840475367157760,2019-05-16 01:51:56,"RT @Trump: Ahead of the @PGAChampionship this week, @B_Dechambeau and @DJohnsonPGA joined us at @TrumpFerryPoint in support of @Curetivity!…",0,3576,en,25073877,Donald J. Trump,realDonaldTrump,60282019,46,"Washington, DC",True
